Australian Bureau of Statistics,,,,,
,,,,,
"2021 Census - counting persons, place of usual residence",,,,,
"INGP Indigenous Status, LFSP Labour Force Status and SA3 (UR) by AGE5P Age in Five Year Groups",,,,,
Counting: Person Records,,,,,
,,,,,
Filters:,,,,,
Default Summation,Person Records,,,,
Person Records,Over 15,Non-Indigenous,Not in the labour force,21202,35723
Person Records,Over 15,Non-Indigenous,Not in the labour force,21203,47754
Person Records,Over 15,Non-Indigenous,Not in the labour force,21204,59838
Person Records,Over 15,Non-Indigenous,Not in the labour force,21205,53606
Person Records,Over 15,Non-Indigenous,Not in the labour force,21301,56972
Person Records,Over 15,Non-Indigenous,Not in the labour force,21302,21803
Person Records,Over 15,Non-Indigenous,Not in the labour force,21303,17685
Person Records,Over 15,Non-Indigenous,Not in the labour force,21304,45204
Person Records,Over 15,Non-Indigenous,Not in the labour force,21305,59843
Person Records,Over 15,Non-Indigenous,Not in the labour force,21401,34463
Person Records,Over 15,Non-Indigenous,Not in the labour force,21402,53766
Person Records,Over 15,Non-Indigenous,Not in the labour force,21501,18410
Person Records,Over 15,Non-Indigenous,Not in the labour force,21502,15160
Person Records,Over 15,Non-Indigenous,Not in the labour force,21503,10733
Person Records,Over 15,Non-Indigenous,Not in the labour force,21601,11273
Person Records,Over 15,Non-Indigenous,Not in the labour force,21602,9866
Person Records,Over 15,Non-Indigenous,Not in the labour force,21603,18328
Person Records,Over 15,Non-Indigenous,Not in the labour force,21701,11234
Person Records,Over 15,Non-Indigenous,Not in the labour force,21703,10864
Person Records,Over 15,Non-Indigenous,Not in the labour force,21704,13678
Person Records,Over 15,Non-Indigenous,Not in the labour force,29797,0
Person Records,Over 15,Non-Indigenous,Not in the labour force,29999,2284
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20101,1244
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20102,229
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20103,205
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20201,1042
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20202,433
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20203,93
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20301,143
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20302,2472
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20303,758
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20401,444
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20402,330
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20403,556
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20501,496
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20502,370
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20503,518
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20504,853
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20505,376
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20601,1224
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20602,729
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20603,851
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20604,3880
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20605,1186
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20606,639
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20607,1012
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20701,2230
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20702,1401
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20703,1747
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20801,1110
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20802,1906
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20803,1339
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20804,555
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20901,1494
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20902,1456
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20903,715
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",20904,3392
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21001,685
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21002,282
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21003,1008
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21004,539
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21005,3325
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21101,1962
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21102,334
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21103,1293
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21104,850
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21105,1523
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21201,1309
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21202,1984
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21203,3143
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21204,2909
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21205,2991
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21301,3096
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21302,978
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21303,1286
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21304,2772
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21305,4460
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21401,1535
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21402,1306
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21501,373
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21502,592
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21503,213
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21601,260
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21602,193
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21603,607
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21701,270
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21703,238
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",21704,385
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",29797,0
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for part-time work",29999,148
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20101,1343
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20102,295
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20103,282
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20201,1003
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20202,403
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20203,125
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20301,149
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20302,2417
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20303,685
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20401,549
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20402,337
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20403,676
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20501,526
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20502,445
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20503,560
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20504,1293
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20505,522
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20601,1351
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20602,633
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20603,968
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20604,3526
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20605,1624
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20606,895
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20607,1239
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20701,1688
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20702,1217
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20703,1423
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20801,939
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20802,1776
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20803,1304
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20804,532
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20901,1332
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20902,1548
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20903,557
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",20904,3766
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21001,705
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21002,231
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21003,1287
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21004,526
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21005,4007
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21101,1783
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21102,254
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21103,1141
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21104,674
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21105,1343
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21201,1279
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21202,2000
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21203,3184
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21204,3352
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21205,2466
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21301,3768
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21302,1260
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21303,1536
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21304,3126
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21305,5511
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21401,1694
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21402,1233
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21501,486
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21502,656
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21503,323
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21601,321
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21602,250
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21603,732
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21701,330
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21703,261
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",21704,338
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",29797,0
Person Records,Over 15,Non-Indigenous,"Unemployed, looking for full-time work",29999,310
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20101,3666
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20102,1149
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20103,861
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20201,3195
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20202,1859
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20203,454
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20301,900
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20302,6902
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20303,3507
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20401,2232
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20402,1677
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20403,2696
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20501,2008
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20502,1586
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20503,2739
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20504,2455
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20505,1506
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20601,3374
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20602,1863
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20603,2357
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20604,6116
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20605,3552
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20606,2089
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20607,3153
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20701,4793
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20702,2759
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20703,3151
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20801,3016
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20802,4820
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20803,3865
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20804,1290
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20901,4011
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20902,3337
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20903,2416
Person Records,Over 15,Non-Indigenous,"Employed, away from work",20904,7774
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21001,2065
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21002,1215
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21003,2647
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21004,1635
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21005,6006
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21101,4800
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21102,771
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21103,3559
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21104,1731
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21105,5786
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21201,4017
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21202,3965
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21203,6950
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21204,5287
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21205,5245
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21301,5893
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21302,2800
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21303,3105
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21304,6416
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21305,9203
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21401,4750
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21402,6214
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21501,1937
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21502,1802
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21503,1135
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21601,1377
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21602,1007
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21603,2016
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21701,1269
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21703,1460
Person Records,Over 15,Non-Indigenous,"Employed, away from work",21704,1935
Person Records,Over 15,Non-Indigenous,"Employed, away from work",29797,0
Person Records,Over 15,Non-Indigenous,"Employed, away from work",29999,220
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20101,19915
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20102,5221
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20103,3706
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20201,17348
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20202,9343
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20203,1705
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20301,3929
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20302,37405
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20303,16736
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20401,9196
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20402,7804
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20403,12524
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20501,9450
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20502,7480
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20503,12027
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20504,11373
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20505,6620
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20601,17715
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20602,10396
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20603,12073
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20604,30979
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20605,16898
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20606,10121
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20607,15341
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20701,30361
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20702,16248
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20703,19909
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20801,17731
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20802,28136
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20803,20928
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20804,7559
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20901,21728
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20902,16487
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20903,12716
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",20904,38859
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21001,9614
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21002,5549
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21003,12767
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21004,7147
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21005,27940
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21101,27264
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21102,5080
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21103,19856
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21104,10760
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21105,27701
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21201,18788
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21202,21392
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21203,34539
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21204,29192
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21205,31041
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21301,27210
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21302,12832
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21303,14544
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21304,28202
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21305,42602
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21401,22606
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21402,28562
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21501,9184
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21502,7998
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21503,5478
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21601,5958
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21602,4399
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21603,9814
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21701,5793
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21703,6414
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",21704,9337
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",29797,0
Person Records,Over 15,Non-Indigenous,"Employed, worked part-time",29999,637
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20101,30013
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20102,7677
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20103,5406
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20201,26220
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20202,12203
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20203,2822
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20301,6315
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20302,57057
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20303,22888
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20401,14933
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20402,12299
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20403,20612
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20501,14846
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20502,9528
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20503,14947
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20504,17614
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20505,10804
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20601,32316
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20602,18583
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20603,23686
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20604,52702
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20605,40170
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20606,26122
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20607,38823
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20701,51472
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20702,26071
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20703,29774
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20801,29544
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20802,50516
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20803,39060
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20804,13834
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20901,37679
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20902,27637
Person Records,Over 15,Non-Indigenous,"Employed, worked full-time",20903,20417
